PokeDatabaseId,PokemonId,PokemonName,PokedexId,ClassificationId,AlternateFormName,OriginalPokemonId,LegendaryType,PokemonHeight,PokemonWeight,PrimaryTypeId,SecondaryTypeId,PrimaryAbilityId,SecondaryAbilityId,HiddenAbilityId,SpecialEventAbilityId,MaleRatio,FemaleRatio,BaseHappiness,GameOfOriginId,PrimaryEggGroupId,SecondaryEggGroupId,EggCycleCount,PreEvolutionPokemonId,HealthStat,AttackStat,DefenseStat,SpecialAttackStat,SpecialDefenseStat,SpeedStat,BaseStatTotal,HealthEV,AttackEV,DefenseEV,SpecialAttackEV,SpecialDefenseEV,SpeedEV,EVYieldTotal,CatchRate,ExperienceGrowth,ExperienceGrowthTotal,EvolutionDetails
1,1,Bulbasaur,1,554,,,,0.7,6.9,4,7.0,160,,27.0,,87.5,12.5,50,10,11,8.0,20,,45,49,49,65,65,45,318,0,0,0,1,0,0,1,45,Medium Slow,1059860,
2,2,Ivysaur,2,554,,,,1.0,13.0,4,7.0,160,,27.0,,87.5,12.5,50,10,11,8.0,20,1.0,60,62,63,80,80,60,405,0,0,0,1,1,0,2,45,Medium Slow,1059860,Level 16
3,3,Venusaur,3,554,,,,2.0,100.0,4,7.0,160,,27.0,,87.5,12.5,50,10,11,8.0,20,2.0,80,82,83,100,100,80,525,0,0,0,2,1,0,3,45,Medium Slow,1059860,Level 32
4,4,Venusaur,3,554,Mega,3.0,,2.4,155.5,4,7.0,271,,,,87.5,12.5,70,9,11,8.0,20,,80,100,123,122,120,80,625,0,0,0,2,1,0,3,45,Medium Slow,1059860,
5,1526,Venusaur,3,554,Gigantamax,3.0,,24.0,0.0,4,7.0,160,,27.0,,87.5,12.5,50,5,11,8.0,20,,80,82,83,100,100,80,525,0,0,0,2,1,0,3,45,Medium Slow,1059860,
6,5,Charmander,4,371,,,,0.6,8.5,13,,23,,230.0,,87.5,12.5,50,10,11,4.0,20,,39,52,43,60,50,65,309,0,0,0,0,0,1,1,45,Medium Slow,1059860,
7,6,Charmeleon,5,234,,,,1.1,19.0,13,,23,,230.0,,87.5,12.5,50,10,11,4.0,20,5.0,58,64,58,80,65,80,405,0,0,0,1,0,1,2,45,Medium Slow,1059860,Level 16
8,7,Charizard,6,234,,,,1.7,90.5,13,16.0,23,,230.0,,87.5,12.5,50,10,11,4.0,20,6.0,78,84,78,109,85,100,534,0,0,0,3,0,0,3,45,Medium Slow,1059860,Level 36
9,8,Charizard,6,234,Mega X,7.0,,1.7,110.5,13,12.0,274,,,,87.5,12.5,70,9,11,4.0,20,,78,130,111,130,85,100,634,0,0,0,3,0,0,3,45,Medium Slow,1059860,
10,9,Charizard,6,234,Mega Y,7.0,,1.7,100.5,13,16.0,56,,,,87.5,12.5,70,9,11,4.0,20,,78,104,78,159,115,100,634,0,0,0,3,0,0,3,45,Medium Slow,1059860,
11,1522,Charizard,6,234,Gigantamax,7.0,,28.0,0.0,13,16.0,23,,230.0,,87.5,12.5,50,5,11,4.0,20,,78,84,78,109,85,100,534,0,0,0,3,0,0,3,45,Medium Slow,1059860,
12,10,Squirtle,7,661,,,,0.5,9.0,2,,273,,191.0,,87.5,12.5,50,10,11,13.0,20,,44,48,65,50,64,43,314,0,0,1,0,0,0,1,45,Medium Slow,1059860,
13,11,Wartortle,8,678,,,,1.0,22.5,2,,273,,191.0,,87.5,12.5,50,10,11,13.0,20,10.0,59,63,80,65,80,58,405,0,0,1,0,1,0,2,45,Medium Slow,1059860,Level 16
14,12,Blastoise,9,566,,,,1.6,85.5,2,,273,,191.0,,87.5,12.5,50,10,11,13.0,20,11.0,79,83,100,85,105,78,530,0,0,0,0,3,0,3,45,Medium Slow,1059860,Level 36
15,13,Blastoise,9,566,Mega,12.0,,1.6,101.1,2,,136,,,,87.5,12.5,70,9,11,13.0,20,,79,103,120,135,115,78,630,0,0,0,0,3,0,3,45,Medium Slow,1059860,
16,1525,Blastoise,9,566,Gigantamax,12.0,,25.0,0.0,2,,273,,191.0,,87.5,12.5,50,5,11,13.0,20,,79,83,100,85,105,78,530,0,0,0,0,3,0,3,45,Medium Slow,1059860,
