AbilityId,AbilityName,AbilityDescription
1,Adaptability,Powers up moves of the same type as the Pokémon.
2,Aerilate,Normal-type moves become Flying-type moves. The power of those moves is boosted a little.
3,Aftermath,Damages the attacker if it contacts the Pokémon with a finishing hit.
4,Air Lock,Eliminates the effects of weather.
5,Analytic,Boosts move power when the Pokémon moves last.
6,Anger Point,"The Pokémon is angered when it takes a critical hit, and that maxes its Attack stat."
7,Anger Shell,"When the Pokémon's HP drops to half or less, it gets angry. This lowers its Defense and Sp. Def stats but boosts its Attack, Sp. Atk, and Speed stats."
8,Anticipation,The Pokémon can sense an opposing Pokémon's dangerous moves.
9,Arena Trap,Prevents opposing Pokémon from fleeing.
10,Armor Tail,Prevents opposing Pokémon from using priority moves against the target.
11,Aroma Veil,Protects itself and its allies from attacks that limit their move choices.
12,As One,This Ability combines the effects of both Calyrex’s Unnerve Ability and Glastrier’s/Spectrier’s Chilling Neigh/Grim Neigh Ability.
13,Aura Break,"The effects of """"Aura"""" Abilities are reversed to lower the power of affected moves."
14,Bad Dreams,Reduces the HP of sleeping opposing Pokémon.
15,Ball Fetch,"If the Pokémon is not holding an item, it will fetch the Poke Ball from the first failed throw of the battle."
16,Battery,Powers up ally Pokémon's special moves.
17,Battle Armor,Hard armor protects the Pokémon from critical hits.
18,Battle Bond,"When the Pokémon knocks out a target, its bond with its Trainer is strengthened, and its Attack, Sp. Atk, and Speed stats are boosted."
19,Beads of Ruin,The power of the Pokémon's ruinous beads lowers the Sp. Def stats of all Pokémon except itself.
20,Beast Boost,The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.
21,Berserk,Boosts the Pokémon's Sp. Atk stat when it takes a hit that causes its HP to become half or less.
22,Big Pecks,Protects the Pokémon from Defense-lowering effects.
23,Blaze,Powers up Fire-type moves when the Pokémon's HP is low.
24,Bulletproof,Protects the Pokémon from some ball and bomb moves.
25,Cheek Pouch,Restores HP as well when the Pokémon eats a Berry.
26,Chilling Neigh,"When the Pokémon knocks out a target, it utters a chilling neigh, which boosts its Attack stat."
27,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight.
28,Clear Body,Prevents other Pokémon's moves or Abilities from lowering the Pokémon's stats.
29,Cloud Nine,Eliminates the effects of weather.
30,Color Change,The Pokémon's type becomes the type of the move used on it.
31,Comatose,It's always drowsing and will never wake up. It can attack without waking up.
32,Commander,"When the Pokémon enters a battle, it goes inside the mouth of an ally Dondozo if one is on the field. The Pokémon then issues commands from there. Dondozo can no longer switch out. Dondozo's stats all raise by 2 stages."
33,Competitive,Boosts the Sp. Atk stat sharply when a stat is lowered.
34,Compound Eyes,The Pokémon's compound eyes boost its accuracy.
35,Contrary,Makes stat changes have an opposite effect.
36,Corrosion,The Pokémon can poison the target even if it's a Steel or Poison type.
37,Costar,"When the Pokémon enters a battle, it copies an ally's stat changes."
38,Cotton Down,"When the Pokémon is hit by an attack, it scatters cotton fluff around and lowers the Speed stat of all Pokémon except itself."
